date,station_id,station_name,day_of_week,week_of_year,month,quarter,season,is_weekend,is_holiday,holiday_name,temperature,weather_condition,precipitation_mm,price_AI92,price_AI95,price_DT,price_DT_bio,price_AI100_bio,competitor_price_AI92,competitor_price_AI95,competitor_price_DT,competitor_price_AI92_brend,competitor_price_AI95_brend,competitor_price_DT_brend,competitor_price_AI100,sales_AI92,sales_AI95,sales_DT,sales_DT_bio,sales_AI100_bio,total_fuel_sales,promotion_fuel_active,promotion_shop_active,promotion_cafe_active,corporate_customer_ratio,customer_loyalty_score,shop_напитки_безалкогольные,shop_кондитерка_снеки,shop_мороженое,shop_автотовары,shop_кафе_вся_еда,shop_кофе_все_горячие_напитки,shop_табак,traffic_Passengers_cars_1_poputn,traffic_Passengers_cars_2_poputn,traffic_Truck_short_1_poputn,traffic_Truck_short_2_poputn,traffic_Truck_1_poputn,traffic_Truck_2_poputn,traffic_Truck_long_1_poputn,traffic_Truck_long_2_poputn,traffic_Transporter_1_poputn,traffic_Transporter_2_poputn,traffic_scorost_1_poputn,traffic_scorost_2_poputn,traffic_plotnost_1_poputn,traffic_plotnost_2_poputn,traffic_intensiv_priv_1_poputn,traffic_intensiv_priv_2_poputn,traffic_intensiv_fiz_1_poputn,traffic_intensiv_fiz_2_poputn,traffic_uroven_jbslugi_1_poputn,traffic_uroven_jbslugi_2_poputn,traffic_Passengers_cars_1_wstrechn,traffic_Passengers_cars_2_wstrechn,traffic_Truck_short_1_wstrechn,traffic_Truck_short_2_wstrechn,traffic_Truck_1_wstrechn,traffic_Truck_2_wstrechn,traffic_Truck_long_1_wstrechn,traffic_Truck_long_2_wstrechn,traffic_Transporter_1_wstrechn,traffic_Transporter_2_wstrechn,traffic_scorost_1_wstrechn,traffic_scorost_2_wstrechn,traffic_plotnost_1_wstrechn,traffic_plotnost_2_wstrechn,traffic_intensiv_priv_1_wstrechn,traffic_intensiv_priv_2_wstrechn,traffic_intensiv_fiz_1_wstrechn,traffic_intensiv_fiz_2_wstrechn,traffic_uroven_jbslugi_1_wstrechn,traffic_uroven_jbslugi_2_wstrechn,traffic_Undefined_1_poputn,traffic_Undefined_2_poputn,traffic_Undefined_1_wstrechn,traffic_Undefined_2_wstrechn
2025-01-01,Запад-МФ-69172,АЗС 172,2,1,1,1,winter,0,1,holiday,-8.5,0,0.0,62.5,66.5,76.5,78.5,93.0,62.41,66.41,76.39,0,0,0,0,7140,7036,7754,653,937,23520,0,0,0,0.7709,0.6418,8208.01,6566.41,820.8,5909.77,9849.61,13132.82,16416.02,906,8158,135,1223,226,2039,67,611,22,203,68.6,68.6,1.81,16.33,12.46,112.18,11.33,101.98,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,Запад-МФ-69172,АЗС 172,3,1,1,1,winter,0,1,holiday,-12.7,0,0.0,62.51,66.51,76.52,78.52,93.02,61.63,65.57,75.44,0,0,0,0,6403,6299,7004,779,895,21380,0,0,0,0.573,0.756,7989.92,6391.94,798.99,5752.75,9587.91,12783.88,15979.85,1026,9241,153,1386,256,2310,76,693,25,231,60.0,60.0,2.35,21.14,14.12,127.07,12.84,115.52,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-03,Запад-МФ-69172,АЗС 172,4,1,1,1,winter,0,1,holiday,-14.0,0,0.0,62.53,66.53,76.53,78.53,93.04,62.65,66.66,76.68,0,0,0,0,6668,6019,6659,522,981,20849,0,0,0,0.7536,0.8446,11172.35,8937.88,1117.24,8044.09,13406.82,17875.77,22344.71,1095,9857,163,1478,273,2464,81,739,27,246,63.4,63.4,2.37,21.35,15.06,135.54,13.69,123.22,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-04,Запад-МФ-69172,АЗС 172,5,1,1,1,winter,1,1,holiday,-6.9,0,0.0,63.12,65.99,76.31,78.81,93.97,62.82,65.67,75.94,0,0,0,0,5224,5902,8279,810,1684,21899,0,0,0,0.6992,0.7283,9041.81,7233.45,904.18,6510.1,10850.17,14466.89,18083.62,900,8108,94,850,157,1418,47,425,15,141,65.7,65.7,1.73,15.55,11.37,102.36,10.59,95.27,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-05,Запад-МФ-69172,АЗС 172,6,1,1,1,winter,1,1,holiday,-10.9,0,0.0,63.14,66.0,76.33,78.83,93.99,63.0,65.86,76.16,0,0,0,0,5509,4913,6552,835,1278,19087,0,0,0,0.7065,0.633,8722.73,6978.19,872.27,6280.37,10467.28,13956.37,17445.47,950,8556,99,897,166,1496,49,448,16,149,73.5,73.5,1.63,14.68,12.0,108.02,11.17,100.53,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-06,Запад-МФ-69172,АЗС 172,0,2,1,1,winter,0,1,holiday,-14.4,0,0.0,63.15,66.01,76.35,78.85,94.01,63.15,66.01,76.35,0,0,0,0,6426,5960,7275,692,1524,21877,0,0,0,0.7876,0.6111,9661.29,7729.04,966.13,6956.13,11593.55,15458.07,19322.59,996,8964,149,1344,249,2241,74,672,24,224,60.7,60.7,2.25,20.27,13.7,123.25,12.45,112.05,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07,Запад-МФ-69172,АЗС 172,1,2,1,1,winter,0,1,holiday,-2.6,0,0.7,63.17,66.03,76.36,78.86,94.03,62.81,65.65,75.92,0,0,0,0,7132,7070,7383,566,1870,24021,0,0,0,0.5011,0.6962,11864.8,9491.84,1186.48,8542.66,14237.76,18983.68,23729.6,977,8793,146,1318,244,2197,73,659,24,219,66.9,66.9,2.01,18.05,13.43,120.9,12.21,109.91,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-08,Запад-МФ-69172,АЗС 172,2,2,1,1,winter,0,1,holiday,-7.4,0,1.4,63.18,66.04,76.38,78.88,94.05,62.51,65.34,75.57,0,0,0,0,8030,5895,8021,997,505,23448,0,0,0,0.6694,0.7899,8190.33,6552.26,819.03,5897.04,9828.4,13104.53,16380.66,1068,9614,160,1441,267,2403,80,720,26,240,60.6,60.6,2.42,21.78,14.69,132.19,13.35,120.18,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-09,Запад-МФ-69172,АЗС 172,3,2,1,1,winter,0,0,,-14.0,0,0.0,63.19,66.06,76.4,78.9,94.07,63.35,66.23,76.59,0,0,0,0,5985,5539,6417,1000,1367,20308,0,0,0,0.7318,0.8548,11199.8,8959.84,1119.98,8063.85,13439.76,17919.68,22399.59,1055,9497,157,1424,263,2374,78,712,26,237,61.7,61.7,2.35,21.13,14.51,130.59,13.19,118.72,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-10,Запад-МФ-69172,АЗС 172,4,2,1,1,winter,0,0,,-4.3,0,0.9,63.21,66.07,76.41,78.92,94.09,63.77,66.65,77.08,0,0,0,0,6500,7226,7485,432,1145,22788,0,0,0,0.5566,0.8745,9393.21,7514.57,939.32,6763.11,11271.85,15029.13,18786.41,995,8959,148,1343,248,2239,74,671,24,223,69.3,69.3,1.97,17.75,13.69,123.18,12.44,111.99,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
