station_id,target,MAE,RMSE,MAPE_%,n
0,sales_AI92,5.891,10.048,47.5,744
0,sales_AI95,6.656,11.344,45.78,744
0,sales_AI98,1.715,3.024,50.26,744
0,sales_DT_EURO,1.734,2.668,44.6,744
0,sales_DT_TANEKO,0.531,0.899,22.95,744
0,sales_DT_SUMMER,0.586,0.988,,744
0,sales_DT_WINTER,0.702,0.933,55.6,744
0,shop_напитки,7.469,16.951,49.24,744
0,shop_закуски,15.444,34.699,51.6,744
0,shop_автотовары,23.002,51.969,51.17,744
0,shop_кофе,14.467,32.481,53.55,744
0,shop_табак,4.617,10.296,50.25,744
1,sales_AI92,4.502,8.072,49.41,744
1,sales_AI95,4.893,8.777,49.16,744
1,sales_AI98,1.216,2.235,66.29,744
1,sales_DT_EURO,1.186,2.163,64.81,744
1,sales_DT_TANEKO,0.491,0.793,32.72,744
1,sales_DT_SUMMER,0.154,0.353,,744
1,sales_DT_WINTER,0.532,0.729,68.74,744
1,shop_напитки,4.874,12.878,36.19,744
1,shop_закуски,9.581,25.704,35.64,744
1,shop_автотовары,14.033,37.547,32.96,744
1,shop_кофе,9.328,24.748,38.61,744
1,shop_табак,2.905,7.659,36.16,744
2,sales_AI92,6.042,10.341,53.28,744
2,sales_AI95,6.712,11.601,51.19,744
2,sales_AI98,1.704,3.042,56.24,744
2,sales_DT_EURO,1.721,2.756,46.57,744
2,sales_DT_TANEKO,0.609,0.951,32.54,744
2,sales_DT_SUMMER,0.584,0.96,,744
2,sales_DT_WINTER,0.604,0.783,47.1,744
2,shop_напитки,5.985,15.135,31.74,744
2,shop_закуски,13.018,32.305,35.32,744
2,shop_автотовары,19.967,49.272,34.08,744
2,shop_кофе,12.284,30.896,35.35,744
2,shop_табак,3.91,9.485,33.34,744
3,sales_AI92,6.259,10.175,51.25,744
3,sales_AI95,7.135,11.563,50.05,744
3,sales_AI98,1.803,2.956,56.54,744
3,sales_DT_EURO,1.817,2.767,47.38,744
3,sales_DT_TANEKO,0.63,0.92,37.15,744
3,sales_DT_SUMMER,0.379,0.636,,744
3,sales_DT_WINTER,0.567,0.739,43.31,744
3,shop_напитки,7.294,16.84,30.27,744
3,shop_закуски,15.954,35.299,34.27,744
3,shop_автотовары,23.877,52.927,34.05,744
3,shop_кофе,13.797,32.022,30.98,744
3,shop_табак,4.527,10.259,30.76,744
4,sales_AI92,3.716,6.817,41.51,744
4,sales_AI95,4.029,7.402,40.72,744
4,sales_AI98,0.94,1.779,52.38,744
4,sales_DT_EURO,0.977,1.841,53.19,744
4,sales_DT_TANEKO,0.461,0.697,35.18,744
4,sales_DT_SUMMER,0.173,0.34,,744
4,sales_DT_WINTER,0.507,0.685,61.75,744
4,shop_напитки,3.782,9.682,19.16,744
4,shop_закуски,7.602,19.562,20.05,744
4,shop_автотовары,11.146,28.602,18.98,744
4,shop_кофе,7.516,19.129,22.89,744
4,shop_табак,2.296,5.875,18.65,744
